Ighv1-13,50.43
Trbv4,89.50
Trbv13-1,92.66
Trbv21,95.13
Trbv23,90.15
Trbv26,89.09
Trbv30,92.22
Trbv31,92.14
Gm20730,89.66
Igkv14-130,90.03
Igkv17-127,88.34
Igkv14-126,89.46
Igkv9-124,97.00
Igkv17-121,88.87
Igkv2-109,89.43
Igkv14-100,92.71
Igkv1-99,88.76
Igkv12-98,91.78
Igkv10-95,96.06
Igkv10-94,89.57
Igkv4-91,88.93
Igkv4-90,86.35
Igkv12-89,90.76
Igkv4-86,87.54
Igkv4-81,92.93
Igkv4-80,87.07
Igkv4-79,88.29
Igkv4-63,93.38
Igkv4-61,96.08
Igkv4-58,93.97
Igkv4-57-1,85.72
Igkv5-39,96.25
Igkv12-38,90.13
Igkv18-36,85.82
Igkv1-35,88.95
Igkv6-29,85.68
Igkv8-28,94.72
Igkv8-27,96.81
Igkv8-26,86.74
Igkv8-16,88.54
Igkv6-13,95.88
Igkv3-10,90.06
Igkv3-7,96.13
Igkv3-2,90.37
Igkv3-1,90.39
Ighv5-2,89.92
Ighv2-2,91.53
Ighv5-4,90.84
Ighv5-6,90.51
Ighv5-9,90.74
Ighv2-5,92.74
Ighv5-12,91.84
Ighv2-9,92.78
Ighv5-9-1,90.54
Ighv2-6-8,92.29
Ighv2-7,92.27
Ighv5-15,91.74
Ighv5-16,90.73
Ighv5-17,91.60
Ighv7-3,90.93
Ighv7-2,91.70
Ighv14-1,91.40
Ighv4-1,92.08
Ighv11-1,90.61
Ighv14-2,90.74
Ighv11-2,91.11
Ighv14-3,89.92
Ighv16-1,90.42
Ighv9-1,97.28
Ighv7-1,91.17
Ighv14-4,90.25
Ighv3-3,96.89
Ighv7-4,91.81
Ighv3-1,91.50
Ighv9-4,96.93
Ighv3-8,85.85
Ighv12-3,90.82
Ighv6-3,91.62
Ighv6-6,91.46
Ighv1-4,91.21
Ighv1-5,97.20
Ighv10-3,91.28
Ighv1-7,91.58
Ighv15-2,90.40
Ighv1-9,91.32
Ighv1-12,96.80
Ighv1-16,93.75
Ighv1-18,88.45
Ighv1-19,91.69
Ighv1-20,91.14
Ighv1-22,91.36
Ighv1-24,94.25
Ighv1-26,91.50
Ighv1-31,96.81
Ighv1-34,91.14
Ighv1-36,91.50
Ighv1-37,91.36
Ighv1-39,90.56
Ighv1-42,96.54
Ighv1-43,96.85
Ighv1-47,96.12
Ighv1-49,91.40
Ighv1-50,91.95
Ighv1-52,91.66
Ighv1-53,91.40
Ighv8-6,97.20
Ighv1-54,91.48
Ighv1-55,91.83
Ighv1-56,96.04
Ighv1-58,92.02
Ighv1-59,92.56
Ighv8-9,90.47
Ighv1-63,91.27
Ighv1-64,91.56
Ighv8-11,91.13
Ighv1-66,91.09
Ighv1-67,96.77
Ighv1-69,92.25
Ighv8-12,91.57
Ighv8-13,97.48
Ighv1-74,92.06
Ighv1-75,91.44
Ighv1-80,91.27
Ighv1-81,91.27
Ighv1-85,91.58
Trgv6,73.16
Trgv5,91.20
Trgv3,87.64
Trav5-1,91.20
Trav6-1,90.77
Trav9-1,90.51
Trav6-6,92.39
Trav7d-5,91.19
Trav13d-1,91.39
Trav14-3,88.58
Trav15d-1-dv6d-1,86.62
Trav4n-4,92.36
Trav16d-dv11,89.48
Trav13d-4,95.16
Trav14d-3-dv8,87.68
Trav7n-4,90.80
Trav6n-5,90.31
Trav10n,91.17
Trav6n-6,95.91
Trav4n-3,90.16
Trav12n-2,89.26
Trav9n-4,91.07
Trav8n-2,88.87
Trav16n,89.63
Trav13n-4,95.16
Trav14n-3,95.44
Trav4-2,91.55
Trav6-7-dv9,82.63
Trav8-1,87.45
Trav10d,90.89
Trav13-1,90.32
Trav9-2,91.30
Trav12-3,87.63
Trav13-2,92.63
Trav15-2-dv6-2,85.13
Trav4-4-dv10,91.75
Trav5-4,90.29
Trav16,90.62
Trav3-4,89.40
Trdv2-1,91.58
Trdv5,88.91
Iglv1,89.72
Igkv13-85,89.54
Ighv1-78,96.43
Ighv5-8,52.44
Igkv4-53,95.62
Ighv1-62-2,96.51
Gm17472,80.02
Ighv1-62-1,90.51
Trav9d-4,85.84
Ighv8-4,97.24
Trav9d-3,91.08
Ighv2-3,91.99
Ighv2-9-1,92.65
Trav9d-1,90.52
Trav12n-3,89.07
Trav6n-7,90.21
Ighv2-6,92.24
Trav6d-7,91.97
Trav14d-1,89.03
Trav6d-5,90.05
Trav7-4,91.61
Trav21-dv12,89.73
Trav13-4-dv7,95.36
Trav7-6,95.08
Trav6d-3,91.91
Trav6-5,89.65
Igkv19-93,89.50
Trav6-4,91.40
Gm17783,83.32
Gm21854,80.66
4931428L18Rik,66.30
Gm28168,85.33
Gm10778,77.50
Gm21778,83.69
Smim10l1,63.44
Gm33815,68.95
Gm29554,79.38
Gm29276,75.90
1700025B11Rik,72.40
H2al1b,79.23
Scgb1b12,89.82
Gm28510,76.22
Gm28919,76.45
Gm28897,74.87
BC034090,44.86
Scgb1b17,88.52
Gm28961,75.71
Scgb2b18,74.41
Cyp4a29,91.96
Auts2,41.87
Gm13283,85.61
Gm6358,51.57
Trdv1,86.90
1700017N19Rik,53.48
Gm21117,74.80
Gm3604,79.80
Ighv13-2,97.34
Gm20820,75.34
1700019A02Rik,67.04
Scgb1b10,89.21
Gm29289,69.60
Gm28171,84.12
Gm21858,75.78
Trav17,90.60
Misp3,72.23
Gm29666,37.90
E130114P18Rik,36.83
Gm20888,76.09
Scgb2b21,79.28
Gm21258,76.40
B020011L13Rik,81.62
Scgb1b11,89.44
Gm28102,74.81
Krtap6-3,46.07
Krtap28-13,36.91
Gm21698,74.77
Ly6g2,77.11
Gm28363,77.87
2410004P03Rik,55.96
Gm21095,75.59
Gm13276,85.58
Gm28360,74.06
Vmn1r90,77.22
Btbd35f15,81.04
Prob1,45.94
Scgb2b11,74.91
Gm4064,54.62
Gm21488,75.42
Gm21861,74.88
Zfp951,72.56
Gm5157,87.95
Cfap77,78.38
2610044O15Rik8,86.04
Gm21497,75.49
Gm21865,75.73
Gm29423,78.73
Gm28576,75.03
Trav1,89.13
Zfp383,72.74
Ms4a4a,77.15
Gm28490,75.03
CN725425,44.03
Vmn1r82,81.75
Ly6g6g,76.43
Trav18,91.05
Cyp4a30b,90.93
Gm7145,81.03
Gm21294,75.75
Gm20824,74.92
Gm7358,71.16
Ms4a12,72.27
Ms4a14,40.24
Smok3c,70.11
Gm28269,65.94
Gm29049,84.28
Btbd35f16,81.01
Gm29106,83.59
Gm20911,75.13
Gm21996,75.25
Iqcj-Schip1,59.05
Gm10024,39.05
Btbd35f12,81.70
Gm9774,68.79
2210017I01Rik,46.80
Ighv1-23,90.50
2310046K23Rik,60.87
Gm6525,94.44
Gm28870,75.35
Ighv8-2,87.14
Gm8797,94.29
Ighv5-12-4,91.02
2310009B15Rik,53.53
Ighv1-11,91.61
Tdpoz8,86.39
Ighv6-7,90.84
Gm29866,74.90
Gm38119,45.49
Ighv1-15,90.85
Ighv3-4,91.13
Gm3952,54.30
Tdpoz6,86.05
Sirpb1b,86.84
